"filename", "language", "JSON with Comments", "Pug", "JavaScript", "JSON", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\David\OneDrive\WORK\Web\FP\node\.eslintrc.json", "JSON with Comments", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\David\OneDrive\WORK\Web\FP\node\.prettierrc", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\David\OneDrive\WORK\Web\FP\node\app.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 10, 18, 78
"c:\Users\David\OneDrive\WORK\Web\FP\node\app.yaml", "YAML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\David\OneDrive\WORK\Web\FP\node\controllers\articleController.js", "JavaScript", 0, 0, 99, 0, 0, 0, 0, 15, 28, 142
"c:\Users\David\OneDrive\WORK\Web\FP\node\controllers\authController.js", "JavaScript", 0, 0, 139, 0, 0, 0, 0, 17, 37, 193
"c:\Users\David\OneDrive\WORK\Web\FP\node\controllers\errorController.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 8, 17, 98
"c:\Users\David\OneDrive\WORK\Web\FP\node\controllers\factoryController.js", "JavaScript", 0, 0, 132, 0, 0, 0, 0, 13, 41, 186
"c:\Users\David\OneDrive\WORK\Web\FP\node\controllers\reviewController.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 3, 16
"c:\Users\David\OneDrive\WORK\Web\FP\node\controllers\userController.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 3, 21, 98
"c:\Users\David\OneDrive\WORK\Web\FP\node\controllers\viewsController.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 4, 10, 59
"c:\Users\David\OneDrive\WORK\Web\FP\node\models\articleModel.js", "JavaScript", 0, 0, 113, 0, 0, 0, 0, 4, 9, 126
"c:\Users\David\OneDrive\WORK\Web\FP\node\models\reviewModel.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 11, 84
"c:\Users\David\OneDrive\WORK\Web\FP\node\models\userModel.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 3, 15, 99
"c:\Users\David\OneDrive\WORK\Web\FP\node\package.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 0, 1, 57
"c:\Users\David\OneDrive\WORK\Web\FP\node\public\css\article.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 0, 7, 43
"c:\Users\David\OneDrive\WORK\Web\FP\node\public\css\body.css", "CSS", 0, 0, 0, 0, 132, 0, 0, 3, 28, 163
"c:\Users\David\OneDrive\WORK\Web\FP\node\public\css\card.css", "CSS", 0, 0, 0, 0, 53, 0, 0, 0, 10, 63
"c:\Users\David\OneDrive\WORK\Web\FP\node\public\css\comments.css", "CSS", 0, 0, 0, 0, 73, 0, 0, 0, 7, 80
"c:\Users\David\OneDrive\WORK\Web\FP\node\public\css\components.css", "CSS", 0, 0, 0, 0, 105, 0, 0, 10, 27, 142
"c:\Users\David\OneDrive\WORK\Web\FP\node\public\css\footer.css", "CSS", 0, 0, 0, 0, 118, 0, 0, 3, 18, 139
"c:\Users\David\OneDrive\WORK\Web\FP\node\public\css\header.css", "CSS", 0, 0, 0, 0, 171, 0, 0, 3, 28, 202
